roi,x,1,2
0,0,0.042187363,0.021884494
0,0.003610108,0.057509953,0.0181066
0,0.007220217,0.068101799,0.031860721
0,0.010830325,0.074758334,0.039746895
0,0.014440433,0.094401393,0.064655141
0,0.018050542,0.120173489,0.097327463
0,0.02166065,0.125846196,0.123722447
0,0.025270758,0.164617375,0.12096444
0,0.028880866,0.18418089,0.12115118
0,0.032490975,0.215667558,0.121316374
0,0.036101083,0.261467871,0.123018581
0,0.039711191,0.298271394,0.195595808
0,0.0433213,0.338273404,0.233468121
0,0.046931408,0.362760243,0.233575856
0,0.050541516,0.433177177,0.272159217
0,0.054151625,0.49682454,0.294489015
0,0.057761733,0.54123912,0.31706301
0,0.061371841,0.592050673,0.31286136
0,0.064981949,0.63690065,0.314269092
0,0.068592058,0.662019651,0.336958005
0,0.072202166,0.683027509,0.327958572
0,0.075812274,0.706471911,0.356335873
0,0.079422383,0.713513604,0.348097766
0,0.083032491,0.736468185,0.32860498
0,0.086642599,0.754373846,0.333287845
0,0.090252708,0.763123632,0.300400055
0,0.093862816,0.777713585,0.285769692
0,0.097472924,0.814692941,0.296133763
0,0.101083032,0.851148985,0.327549181
0,0.104693141,0.860350912,0.317774059
0,0.108303249,0.868573199,0.325064102
0,0.111913357,0.872822497,0.318262456
0,0.115523466,0.883485513,0.393030288
0,0.119133574,0.893173074,0.415589919
0,0.122743682,0.898611338,0.451918035
0,0.126353791,0.898175942,0.435556737
0,0.129963899,0.905644658,0.408759543
0,0.133574007,0.91498474,0.384160137
0,0.137184116,0.923784764,0.321580682
0,0.140794224,0.928984397,0.29080449
0,0.144404332,0.926711127,0.368294417
0,0.14801444,0.944503753,0.337970711
0,0.151624549,0.936352637,0.365026467
0,0.155234657,0.93721087,0.301197291
0,0.158844765,0.951633363,0.280907269
0,0.162454874,0.956883234,0.312538156
0,0.166064982,0.973532946,0.37551982
0,0.16967509,0.981545907,0.387736926
0,0.173285199,0.989563055,0.360544706
0,0.176895307,0.980624877,0.375534184
0,0.180505415,0.984292251,0.37194303
0,0.184115523,0.988424327,0.350518204
0,0.187725632,0.995231576,0.332979006
0,0.19133574,0.999229684,0.366053537
0,0.194945848,0.996047944,0.360278961
0,0.198555957,1,0.354446926
0,0.202166065,0.997936055,0.35038174
0,0.205776173,0.99857659,0.357492225
0,0.209386282,0.989479325,0.364566799
0,0.21299639,0.991011584,0.367418176
0,0.216606498,0.989713769,0.395874482
0,0.220216606,0.991966106,0.365486135
0,0.223826715,0.988801112,0.392742995
0,0.227436823,0.980830016,0.435585466
0,0.231046931,0.983542868,0.467604197
0,0.23465704,0.973549692,0.517341684
0,0.238267148,0.966403336,0.517463783
0,0.241877256,0.970623328,0.515546107
0,0.245487365,0.964121693,0.4929362
0,0.249097473,0.967089922,0.509433962
0,0.252707581,0.957946605,0.492677636
0,0.25631769,0.967600675,0.490867695
0,0.259927798,0.969647873,0.492217969
0,0.263537906,0.961492571,0.480403071
0,0.267148014,0.945353613,0.451458368
0,0.270758123,0.949916898,0.431613649
0,0.274368231,0.936775474,0.417493231
0,0.277978339,0.914930316,0.406662309
0,0.281588448,0.939986519,0.425228577
0,0.285198556,0.928875548,0.480604176
0,0.288808664,0.912585876,0.501425688
0,0.292418773,0.908566835,0.48033843
0,0.296028881,0.882267241,0.475504737
0,0.299638989,0.86694465,0.428898737
0,0.303249097,0.869871014,0.380030309
0,0.306859206,0.867999648,0.4339479
0,0.310469314,0.854644713,0.419870575
0,0.314079422,0.84456362,0.428482163
0,0.317689531,0.813533281,0.44854235
0,0.321299639,0.807245157,0.445884896
0,0.324909747,0.767490151,0.488181511
0,0.328519856,0.729866074,0.545029483
0,0.332129964,0.696164747,0.556183609
0,0.335740072,0.695461415,0.508744461
0,0.339350181,0.67656774,0.478133462
0,0.342960289,0.676488196,0.43814955
0,0.346570397,0.654839804,0.46114012
0,0.350180505,0.633576569,0.503451099
0,0.353790614,0.63691321,0.489151123
0,0.357400722,0.634648313,0.492598631
0,0.36101083,0.619367587,0.520070961
0,0.364620939,0.624550475,0.51729859
0,0.368231047,0.631462386,0.506216288
0,0.371841155,0.615344361,0.517341684
0,0.375451264,0.619342468,0.50351574
0,0.379061372,0.644067939,0.540439988
0,0.38267148,0.620451891,0.584869749
0,0.386281588,0.641572784,0.550768148
